NAME,the_geom,URL,LINE,
Baychester Ave,POINT (-73.83859099777192 40.87866333374528),http://www.mta.info/nyct/subway/index.html,5,
Beach 105 St,POINT (-73.82758074931665 40.583268770978755),http://www.mta.info/nyct/subway/index.html,A-S,
Beach 25 St,POINT (-73.76135299673638 40.60006633421964),http://www.mta.info/nyct/subway/index.html,A,
Beach 36 St,POINT (-73.76817499792809 40.59539833456184),http://www.mta.info/nyct/subway/index.html,A,
Beach 44 St,POINT (-73.77601299886851 40.59294333262581),http://www.mta.info/nyct/subway/index.html,A,
Beach 60 St,POINT (-73.78852199717782 40.59237433461577),http://www.mta.info/nyct/subway/index.html,A,
Beach 67 St,POINT (-73.79692399899525 40.590927334290434),http://www.mta.info/nyct/subway/index.html,A,
Beach 90 St,POINT (-73.81365140294552 40.58809189768098),http://www.mta.info/nyct/subway/index.html,A-S,
Beach 98 St,POINT (-73.82052058872064 40.58538602425417),http://www.mta.info/nyct/subway/index.html,A-S,
BEDFORD/NOSTRAN,POINT (-73.95352199987617 40.68962733491343),http://www.mta.info/nyct/subway/index.html,G,
Bedford Ave,POINT (-73.95666499837023 40.71717433231373),http://www.mta.info/nyct/subway/index.html,L,
BEDFORD PARK BL,POINT (-73.88713799869915 40.87324433171974),http://www.mta.info/nyct/subway/index.html,B-D,
BEDFORD PARK BL,POINT (-73.89006400056154 40.8734123326929),http://www.mta.info/nyct/subway/index.html,4,
Bergen St,POINT (-73.97499915098913 40.68086247045291),http://www.mta.info/nyct/subway/index.html,2-3,
Bergen St,POINT (-73.99075649550757 40.68611088098272),http://www.mta.info/nyct/subway/index.html,F-G,
Beverley Road,POINT (-73.9643577954928 40.64390493165595),http://www.mta.info/nyct/subway/index.html,B-Q,
Beverly Road,POINT (-73.94884798335576 40.64512385265653),http://www.mta.info/nyct/subway/index.html,2-5,
BLEECKER ST,POINT (-73.99467467829572 40.72593123822929),http://www.mta.info/nyct/subway/index.html,6DF,
Bleecker St (Uptown),POINT (-73.99465900013325 40.72591499972982),http://www.mta.info/nyct/subway/index.html,4-6-6 Express,
BOROUGH HALL/CT,POINT (-73.99015100058315 40.69240433310098),http://www.mta.info/nyct/subway/index.html,2345R,
Borough Hall,POINT (-73.98999799906535 40.69321933265995),http://www.mta.info/nyct/subway/index.html,2-3,
Botanic Garden,POINT (-73.95924499975295 40.670342999976114),http://www.mta.info/nyct/subway/index.html,S2345,
Bowery,POINT (-73.99380690672811 40.72024721673806),http://www.mta.info/nyct/subway/index.html,J-Z,
Bowling Green,POINT (-74.01400799848199 40.70491433249645),http://www.mta.info/nyct/subway/index.html,4-5,
VAN WYCK BLVD,POINT (-73.82069263553905 40.709162148863335),http://www.mta.info/nyct/subway/index.html,E-F,
Brighton Beach,POINT (-73.96135378572068 40.57771052976751),http://www.mta.info/nyct/subway/index.html,B-Q,
Broad Channel,POINT (-73.81583268677743 40.608402513981986),http://www.mta.info/nyct/subway/index.html,A-S,
Broad St,POINT (-74.01105600048923 40.70647633411761),http://www.mta.info/nyct/subway/index.html,J-Z,
Broadway,POINT (-73.95031225595987 40.70612690984066),http://www.mta.info/nyct/subway/index.html,G,
BROADWAY-31 ST,POINT (-73.92582299856429 40.761432332024945),http://www.mta.info/nyct/subway/index.html,N-Q,
