,race_am_indian,race_asian,race_black,num_females,nbhd_name,nbhd_id,race_hispanic,num_males,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_5_to_9,age_60_to_64,age_65_to_74,age_75_to_84,age_85_over,age_5_under,race_white,nta,employed,unemployed,commute_car_pool,commute_car_alone,commute_other,commute_pub_transp,commute_walk,inc_10k_to_14k,inc_15k_to_24k,inc_200k_over,inc_25k_to_34k,inc_35k_to_49k,inc_50k_to_74k,inc_75k_to_99k,inc_10k_less,inc_100k_to_149k,inc_150k_to_199k,not_labor_force,total_housing_units,vehic_avail_none,vehic_avail_1,vehic_avail_2,vehic_avail_3_plus,ed_9_to12,ed_bachelors,ed_graduate,ed_high_school,ed_less_9,ed_some_college,f_divorced,f_married_separated,f_married,f_separated,f_widowed,m_divorced,m_married_separated,m_married,m_separated,m_widowed
79,10.0,3461.0,2997.0,16321.0,Pelham Parkway                                                 ,BX49,11749.0,13928.0,1763.0,1553.0,1831.0,5076.0,4295.0,4053.0,1652.0,1640.0,1429.0,2454.0,1458.0,715.0,2330.0,11267.0,Pelham Parkway,13435.0,1350.0,1039.0,3411.0,406.0,6781.0,1293.0,809.0,1135.0,216.0,1227.0,1745.0,2079.0,1517.0,1054.0,1251.0,455.0,9462.0,12111.0,5836.0,3780.0,1519.0,353.0,1937.0,3901.0,2336.0,5513.0,3002.0,2949.0,1390.0,4821.0,5161.0,562.0,1540.0,929.0,5052.0,4513.0,185.0,363.0
80,164.0,1467.0,3864.0,24124.0,Schuylerville-Throgs Neck-Edgewater Park                       ,BX52,19099.0,23498.0,3227.0,3534.0,3492.0,6080.0,6327.0,6546.0,3024.0,2895.0,2599.0,3770.0,2743.0,1103.0,2282.0,21937.0,Schuylerville-Throgs Neck-Edgewater Park,21241.0,2446.0,1903.0,10340.0,219.0,6558.0,922.0,805.0,1494.0,900.0,1161.0,1729.0,2534.0,2555.0,1367.0,2809.0,1116.0,14996.0,17982.0,4409.0,6776.0,4181.0,1104.0,3058.0,4764.0,2771.0,10444.0,2779.0,6168.0,1980.0,7600.0,7422.0,757.0,2362.0,1277.0,8123.0,8605.0,566.0,526.0
81,168.0,2588.0,8864.0,18972.0,Soundview-Bruckner                                             ,BX55,22588.0,17334.0,2897.0,2839.0,2954.0,5754.0,4269.0,4301.0,1845.0,2694.0,1862.0,2162.0,888.0,654.0,3187.0,690.0,Soundview-Bruckner,13542.0,2340.0,575.0,2058.0,409.0,8728.0,734.0,1142.0,1907.0,66.0,1173.0,1654.0,1716.0,855.0,1919.0,600.0,245.0,11114.0,12392.0,7140.0,3316.0,649.0,172.0,4341.0,1725.0,591.0,6123.0,4360.0,3405.0,1601.0,4026.0,6625.0,938.0,1136.0,1039.0,4233.0,6979.0,537.0,414.0
82,15.0,3698.0,4340.0,15167.0,Westchester-Unionport                                          ,BX59,17581.0,12868.0,2008.0,2423.0,2140.0,4384.0,4068.0,3643.0,1320.0,1877.0,1331.0,1464.0,804.0,409.0,2164.0,1434.0,Westchester-Unionport,11250.0,2185.0,815.0,2330.0,144.0,6637.0,870.0,689.0,1260.0,194.0,808.0,1185.0,1581.0,960.0,1129.0,890.0,187.0,8211.0,9785.0,4708.0,3131.0,734.0,310.0,2125.0,2382.0,648.0,5077.0,2844.0,3050.0,1318.0,3612.0,5486.0,611.0,1035.0,455.0,3584.0,5352.0,379.0,154.0
83,13.0,1473.0,27271.0,24040.0,Woodlawn-Wakefield                                             ,BX62,7638.0,20636.0,2917.0,3194.0,3417.0,6285.0,6388.0,6463.0,2657.0,2408.0,2552.0,3091.0,1602.0,858.0,2844.0,7482.0,Woodlawn-Wakefield,20974.0,3176.0,1069.0,7957.0,141.0,9476.0,1112.0,838.0,1244.0,295.0,1587.0,1724.0,2661.0,2399.0,1195.0,2211.0,860.0,11597.0,16211.0,5543.0,6078.0,2696.0,697.0,2541.0,5100.0,2756.0,9651.0,2610.0,4885.0,1993.0,6519.0,8787.0,1000.0,1751.0,1242.0,6580.0,7584.0,478.0,573.0
84,61.0,1374.0,9024.0,20665.0,West Concourse                                                 ,BX63,27518.0,18569.0,2961.0,3203.0,3179.0,6479.0,5490.0,5049.0,2193.0,2729.0,1719.0,1747.0,787.0,178.0,3520.0,662.0,West Concourse,15645.0,2811.0,666.0,1820.0,488.0,10128.0,1523.0,1502.0,1980.0,8.0,1928.0,2013.0,1846.0,764.0,2058.0,417.0,120.0,11004.0,13473.0,9808.0,2491.0,262.0,75.0,3878.0,2010.0,742.0,6315.0,5093.0,4099.0,1710.0,4426.0,7586.0,1429.0,1123.0,1100.0,4345.0,7501.0,675.0,129.0
85,0.0,126.0,5569.0,10507.0,Crotona Park East                                              ,BX75,13872.0,9568.0,1863.0,1883.0,1426.0,2765.0,2271.0,2821.0,885.0,1542.0,842.0,1071.0,504.0,171.0,2031.0,239.0,Crotona Park East,6679.0,1355.0,185.0,1158.0,100.0,4389.0,466.0,757.0,1176.0,39.0,881.0,718.0,967.0,392.0,1776.0,194.0,17.0,6214.0,7485.0,4607.0,1682.0,576.0,52.0,2134.0,970.0,314.0,3110.0,2536.0,1634.0,926.0,1795.0,3679.0,712.0,697.0,557.0,1955.0,3393.0,701.0,224.0
86,0.0,202.0,5169.0,815.0,Rikers Island                                                  ,BX98,3159.0,8376.0,0.0,1246.0,2006.0,2477.0,1917.0,1185.0,208.0,0.0,110.0,35.0,7.0,0.0,0.0,594.0,Rikers Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9191.0,0.0,0.0,0.0,0.0,0.0,3286.0,87.0,43.0,1185.0,635.0,597.0,22.0,74.0,703.0,8.0,8.0,101.0,1076.0,7099.0,69.0,31.0
87,19.0,719.0,3711.0,25191.0,Marble Hill-Inwood                                             ,MN01,37338.0,24742.0,3041.0,3014.0,3554.0,8580.0,7816.0,6970.0,3430.0,2681.0,2595.0,3002.0,1422.0,589.0,3239.0,7256.0,Marble Hill-Inwood,23458.0,4365.0,1505.0,2635.0,376.0,14181.0,2590.0,1488.0,2886.0,339.0,2190.0,2569.0,2667.0,1942.0,1935.0,1406.0,534.0,12674.0,18952.0,13202.0,3889.0,776.0,89.0,3641.0,6338.0,3987.0,7217.0,6534.0,5011.0,3433.0,5573.0,8785.0,1770.0,1482.0,2061.0,6975.0,9691.0,1031.0,171.0
88,250.0,2351.0,49250.0,42372.0,Central Harlem North-Polo Grounds                              ,MN03,18948.0,37001.0,4415.0,5008.0,6829.0,14593.0,11231.0,11226.0,4791.0,4590.0,2921.0,4909.0,2541.0,1258.0,5061.0,6412.0,Central Harlem North-Polo Grounds,32871.0,6353.0,969.0,2859.0,885.0,22392.0,2669.0,3033.0,4502.0,1025.0,3626.0,4597.0,5065.0,2498.0,5649.0,1995.0,920.0,25187.0,37270.0,25766.0,6031.0,1052.0,61.0,6639.0,9303.0,6416.0,12727.0,4833.0,9714.0,3090.0,7493.0,18972.0,2126.0,3603.0,2596.0,7430.0,18017.0,1198.0,782.0
